boro_cd,Rent_Per_Month
101,3781
102,4374
103,4444
104,3518
105,4044
106,4660
107,4881
108,3126
109,4900
110,3475
111,2730
112,4719
164,3764
201,4347
202,4789
203,4175
204,4208
205,3314
206,4655
207,3661
208,4297
209,6094
210,3738
211,4549
212,4513
226,2648
227,3975
301,4034
302,4178
303,4367
304,4142
305,4595
306,4056
307,4405
308,4559
309,3816
310,4352
311,2705
313,4781
314,3817
315,3923
316,3351
317,2934
318,3990
355,3621
356,4435
401,3713
402,4000
403,5116
404,3724
405,3430
406,3128
407,3016
408,4157
409,3109
410,3805
411,3891
412,4416
413,4180
414,5199
480,1600
481,2574
482,4831
501,4349
502,3840
503,3067
595,4042
