schooldbn,Name,fl_percent,frl_percent,total_enrollment,prek,k,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,district,printedschoolname,overview,neighborhood,address,sharedbuilding,accessibility,telephone,independentwebsite,subway,bus,code_prog1,name_prog1,admissionsmethod_prog1,geapps_prog1,swdapps_prog1,geappsperseat_prog1,swdappsperseat_prog1,swdseats_prog1,geseats_prog1,gefilled_prog1,swdfilled_prog1,eligibility_prog1,priority1_prog1,priority2_prog1,priority3_prog1,priority4_prog1,priority5_prog1,priority6_prog1,priority7_prog1,prefnote_prog1,lowestpriority_prog1,selectioncriteria1_prog1,selectioncriteria2_prog1,selectioncriteria3_prog1,selectioncriteria4_prog1,selectioncriteria5_prog1,selectioncriteria6_prog1,selectioncriteria7_prog1,selectioncriteria8_prog1,selectioncriteria9_prog1,selectioncriteria10_prog1,selectioncriteria11_prog1,selectioncriteria12_prog1,revealed_prog1,code_prog2,name_prog2,admissionsmethod_prog2,geapps_prog2,swdapps_prog2,geappsperseat_prog2,swdappsperseat_prog2,swdseats_prog2,geseats_prog2,gefilled_prog2,swdfilled_prog2,eligibility_prog2,priority1_prog2,priority2_prog2,priority3_prog2,priority4_prog2,priority5_prog2,priority6_prog2,priority7_prog2,prefnote_prog2,lowestpriority_prog2,selectioncriteria1_prog2,selectioncriteria2_prog2,selectioncriteria3_prog2,selectioncriteria4_prog2,selectioncriteria5_prog2,selectioncriteria6_prog2,selectioncriteria7_prog2,selectioncriteria8_prog2,selectioncriteria9_prog2,selectioncriteria10_prog2,selectioncriteria11_prog2,selectioncriteria12_prog2,revealed_prog2,code_prog3,name_prog3,admissionsmethod_prog3,geapps_prog3,swdapps_prog3,geappsperseat_prog3,swdappsperseat_prog3,swdseats_prog3,geseats_prog3,gefilled_prog3,swdfilled_prog3,eligibility_prog3,priority1_prog3,priority2_prog3,priority3_prog3,priority4_prog3,priority5_prog3,priority6_prog3,priority7_prog3,prefnote_prog3,lowestpriority_prog3,selectioncriteria1_prog3,selectioncriteria2_prog3,selectioncriteria3_prog3,selectioncriteria4_prog3,selectioncriteria5_prog3,selectioncriteria6_prog3,selectioncriteria7_prog3,selectioncriteria8_prog3,selectioncriteria9_prog3,selectioncriteria10_prog3,selectioncriteria11_prog3,selectioncriteria12_prog3,revealed_prog3,code_prog4,name_prog4,admissionsmethod_prog4,geapps_prog4,swdapps_prog4,geappsperseat_prog4,swdappsperseat_prog4,swdseats_prog4,geseats_prog4,gefilled_prog4,swdfilled_prog4,eligibility_prog4,priority1_prog4,priority2_prog4,priority3_prog4,priority4_prog4,priority5_prog4,priority6_prog4,priority7_prog4,prefnote_prog4,lowestpriority_prog4,selectioncriteria1_prog4,selectioncriteria2_prog4,selectioncriteria3_prog4,selectioncriteria4_prog4,selectioncriteria5_prog4,selectioncriteria6_prog4,selectioncriteria7_prog4,selectioncriteria8_prog4,selectioncriteria9_prog4,selectioncriteria10_prog4,selectioncriteria11_prog4,selectioncriteria12_prog4,revealed_prog4,code_prog5,name_prog5,admissionsmethod_prog5,geapps_prog5,swdapps_prog5,geappsperseat_prog5,swdappsperseat_prog5,swdseats_prog5,geseats_prog5,gefilled_prog5,swdfilled_prog5,eligibility_prog5,priority1_prog5,priority2_prog5,priority3_prog5,priority4_prog5,priority5_prog5,priority6_prog5,priority7_prog5,prefnote_prog5,lowestpriority_prog5,selectioncriteria1_prog5,selectioncriteria2_prog5,selectioncriteria3_prog5,selectioncriteria4_prog5,selectioncriteria5_prog5,selectioncriteria6_prog5,selectioncriteria7_prog5,selectioncriteria8_prog5,selectioncriteria9_prog5,selectioncriteria10_prog5,selectioncriteria11_prog5,selectioncriteria12_prog5,revealed_prog5,code_prog6,name_prog6,admissionsmethod_prog6,geapps_prog6,swdapps_prog6,geappsperseat_prog6,swdappsperseat_prog6,swdseats_prog6,geseats_prog6,gefilled_prog6,swdfilled_prog6,eligibility_prog6,priority1_prog6,priority2_prog6,priority3_prog6,priority4_prog6,priority5_prog6,priority6_prog6,priority7_prog6,prefnote_prog6,lowestpriority_prog6,selectioncriteria1_prog6,selectioncriteria2_prog6,selectioncriteria3_prog6,selectioncriteria4_prog6,selectioncriteria5_prog6,selectioncriteria6_prog6,selectioncriteria7_prog6,selectioncriteria8_prog6,selectioncriteria9_prog6,selectioncriteria10_prog6,selectioncriteria11_prog6,selectioncriteria12_prog6,revealed_prog6,coursepassrate,elaprof,mathprof,tophs1,tophs2,tophs3,surveysafety,totalstudents,gradespan,communityschool,schoolday,uniform,ellprograms,communityservice,extendedday,summersession,weekendprogram,languageclasses,acceleratedclasses,electiveclasses,activities,champsboys,champsgirls,champscoed,othersports,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,boro_cd
02M289,IS 289,25.5,,297,,,,,,,,101,97,99,,,,,1,0.3,42,14.1,1,13,99,33.3,40,13.5,37,12.5,119,40.1,143,48.1,154,51.9,2,Hudson River Middle School (I.S. 289),"At I.S. 289, students engage in many interdisciplinary and collaborative projects. Additionally, I.S. 289 has an exciting and enriching after-school program on-site that includes sports, academic support, arts, and technology classes. Parents appreciate the small size of the school and easy access to staff. The school has high expectations for all students, accompanied by high levels of support.",Battery Park City,"201 Warren Street, Manhattan NY 10282","Yes–02M089, 02M289",Accessible,212-571-9268,is289.org,"R to City Hall; E to World Trade Center; 4, 5, J, Z to Fulton St-Broadway-Nassau; 1, 2, 3, A, C to Chambers St","BM1, BM2, BM3, BM4, BxM18, M103, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X15, X17, X17A, X19, X27, X28, X3, X4, X7, X8, X9",M289S,Hudson River Middle School (I.S. 289),Screened,451,62,6,4,16,78,Y,Y,Open to students and residents of District 2,,,,,,,,,,Academic and Personal Behaviors,Attendance,Exceptional Circumstances,Interview,Punctuality,Ranking of School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baruch College Campus High School,Urban Assembly Maker Academy,Millennium High School,,,GR 6-8,No,8:30am-2:50pm,No,English as a New Language,No,Yes–After-School,No,No,Spanish,,"Instrumental Music, One-to-One Academic Coaching, Science Club",Advisories ; Drama ; GSA ; Robotics Team ; Visual Arts,,,,"Basketball, Ping Pong, Soccer, Track and Field, Volleyball",10282,1,40.716668,-74.013542,1,1,31703,1085568,1000160220,Battery Park City-Lower Manhattan                                          ,101
02M896,GREENWICH VILLAGE,42.9,,193,,,,,,,,77,60,56,,,,,5,2.6,48,24.9,10,,16,8.3,61,31.6,71,36.8,45,23.3,87,45.1,106,54.9,2,Lower Manhattan Community Middle School (M.S. 896),"At Lower Manhattan Community (LMC), we work to build a rich middle school experience for all of our students by combining rigorous curriculum, an intense focus on the arts, two years of foreign language, and a strong advisory and community service experience for all students. Our students participate in an enormous range of arts and after-school programs which run Monday-Friday until 5:45pm. Our students take many field trips into the community, to conduct community service, build upon our academic curriculum, and explore our city. Students also attend overnight trips during their middle school experience. LMC is located in the 26 Broadway Building on the sixth and seventh floors. In this historic building, the NYCDOE constructed brand new facilities in 2010. Classrooms are stocked with SMART Boards, laptop computers, iPads, and other technologies.",Lower Manhattan,"26 Broadway, Manhattan NY 10004","Yes–02M316, 02M580, 02M896",Accessible,646-826-8100,lmc896.org,"N to South Ferry; J, Z to Broad St; E to World Trade Center; A, C to Fulton St-Broadway-Nassau; 4, 5 to Bowling Green; 2, 3 to Wall St; 1, R to Whitehall St-South Ferry; 1, R to Rector St","BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",M896S,Lower Manhattan Community Middle School (M.S. 896),Screened,392,93,4,3,30,90,Y,Y,Open to students and residents of District 2,,,,,,,,,,Academic and Personal Behaviors,Attendance,Final 4th Grade Report Card,Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millennium High School,High School of Economics and Finance,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,,GR 6-8,No,8:15am-3:16pm,No,English as a New Language,Yes–Offered,Yes–After-School,No,No,Spanish,Algebra I,"Dance, Digital (Technology) Arts, Drama, Music, Visual Art Studio",Art Club ; Chess Club ; Community Days ; Cooking Club ; Gardening ; Literary Book Club ; Lockers ; Math Team ; Morning Advisory ; Newspaper ; Outlunch ; Overnight Field Trips ; Photography ; Specialized HS Test Prep ; Web-Based Learning,,,Soccer,"Baseball, Basketball, Fencing, Football, Soccer, Softball, Table Tennis, Volleyball",10004,1,40.70568,-74.013302,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          ,101
,No School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
01M034,PS 034 FRANKLIN D ROOSEVELT,76.8,,438,12,29,40,46,31,46,54,55,57,68,,,,,27,6.2,108,24.7,1,45,25,5.7,88,20.1,313,71.5,6,1.4,223,50.9,215,49.1,1,Franklin Delano Roosevelt (P.S. 34),"The P.S. 34 Franklin Delano Roosevelt Middle School experience provides students the opportunities to develop as independent, critical thinkers immersed in rigorous instruction to promote college- and career-readiness skills. As we focus on teaching the whole child in a safe, nurturing environment we encourage positive social emotional growth and provide community service opportunities to enhance our students' academic growth. Our school setting enables us to address students individual academic, social, and behavioral needs. We take students on field trips to universities, such as Harvard and Yale. As an adopted school by the District Attorney's office, our students take trips to the courthouse and law firms. Some special programs we offer include: mock trial, peer mediation, student council, Book Club, basketball, volleyball, and flag football. We recognize student achievement monthly during assemblies for perfect attendance, Scholar of the Month, and Honor Roll. Honor students are rewarded with trips to go bowling and ice skating. Parents appreciate our supportive learning environment where teachers know the students well and expect the best from each student.",Lower East Side,"730 East 12th Street, Manhattan NY 10009",No,Not Accessible,212-228-4433,sites.google.com/site/fdracademy34,L to 1st Ave,"M14A, M14D, M21, M23, M8, M9, X14, X2, X42, X5",M034L,Franklin Delano Roosevelt (P.S. 34),Limited Unscreened,80,30,2,2,17,53,N,N,Open to students and residents of District 1,Priority to continuing 5th grade students,Then to students and residents of District 1 who sign in at an event,"Then to students and residents of District 1. Last year, this program admitted students from all priority groups.",,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,25,15,New Design High School,Orchard Collegiate Academy,,80,159,GR PK-8,No,7:45am-2:40pm,No,English as a New Language,Yes—Offered,Yes,No,Yes—Saturday program for test prep,Spanish,,,Academic After School ; Arbron Arts ; Basketball ; Career Day ; Flag Football ; Junior Achievement ; Mighty Milers ; Peer Mediation ; Penny Harvest ; SONYC After-School Program ; Student Council ; Technology ; Third Street Music School ; Urban Advantage ; Volleyball,,," Developmental Basketball, Flag Football, One Wall Handball","Basketball, Soccer, Softball, Track and Field",10009,1,40.726473,-73.975181,3,2,28,1004564,1003810038,Lower East Side                                                            ,103
01M140,PS 140 NATHAN STRAUS,79.9,,502,18,43,39,37,42,43,42,52,87,99,,,,,66,13.1,120,23.9,8,39,24,4.8,65,12.9,402,80.1,10,2,257,51.2,245,48.8,1,The Nathan Straus Preparatory School (P.S. 140),"We are a community of learners focused on success. We encourage our students to take risks, to try their best, and to take advantage of the opportunities offered at our school. We take pride in the small school community. The students say: ""The teachers are very understanding and supportive. They care about us and point us in the right direction."" In order to meet the Common Core Standards, the curricula used are Scholastic Code-X for ELA and Pearson CMP3 for Math. In social studies and science courses, we focus on project-based learning. We have a technology lab, science lab, and a fully equipped gymnasium. Our students have a variety of leadership opportunities through student council, safety patrol, and book buddies with the lower grades. In addition, our students receive small group support and/or elective on alternating days. Our students have the opportunity to participate in a variety of after-school programs funded by the 21st Century and community-based organizations.",Lower East Side,"123 Ridge Street, Manhattan NY 10002",No,Not Accessible,212-677-4680,schools.nyc.gov/schoolportals/01/m140,"F, J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9",M140S,Nathan Straus Preparatory School (P.S. 140),Screened,146,70,3,4,16,49,Y,Y,Open to students and residents of District 1,Priority to continuing 5th grade students,"Then to students and residents of District 1. Last year, this program admitted students from all priority groups.",,,,,,,,Academic and Personal Behaviors,Attendance,Attendance at an Open House/School Tour,Students Who Rank Them First,Punctuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,20,16,Pace High School,Lower Manhattan Arts Academy,,91,186,GR PK-8,No,8am-2:20pm,No,English as a New Language,Yes—Expected,No,No,No,,Living Environment,"Acting, Build-a-Bear, Chorus, Comic Book Writing, Community Service, Creative Writing, Drawing, Fashion, Foreign language, Health, Keyboards, Latin Dance, Living Environment Regents, Math Club, Needlepoint, Newspaper, Peer Mediation, Recycled Art, Tropical Ecology, Vision Media Robotics, Yoga","Academic Enrichment After-School Programs: Literacy, Mathematics, Social Studies, Science, and Specialized High School Prep ; Artists Space High School Art Portfolio Club & Photography Club ; Arts Programs ; Big Brothers/Big Sisters Leadership Program ; Drama ; Drumming ; Graduation Committee ; Grand Street Academic Enrichment ; Smartworks Fine Arts ; Yearbook Committee",,,,"Baseball, Basketball, Step",10002,1,40.71925,-73.983056,3,1,2201,1004091,1003440001,Lower East Side                                                            ,103
01M184,PS 184M SHUANG WEN,65.3,,451,18,60,60,61,60,53,45,54,40,,,,,,78,17.3,16,3.5,,,372,82.5,32,7.1,18,4,26,5.8,248,55,203,45,1,Shuang Wen School (P.S. 184),"We are developing a culture of college-minded students and working with community members to create a challenging learning environment. Parents appreciate our family-like atmosphere and the bilingual, bi-cultural learning opportunity. In school year 2018-2019, dual-language program courses will extend to both sixth and seventh grade which will continue to grow one grade at a time each year. In the Dual Language Program, there will be a beginning level dual-language program for students who are less proficient in Mandarin Chinese, and an advanced level dual-language program for students who are more advanced in Mandarin Chinese. Core subjects such as math, Chinese language arts, music, and dance may be delivered in both English and Mandarin Chinese on alternate schedules. All middle school students will have opportunity to participate in an Accelerated Math Program and Accelerated Science Program which will end with Integrated Algebra I Regents Exam, Living Environment Regents Exam, and Chinese Language Proficiency Exam in eighth grade.",Lower East Side,"327 Cherry Street, Manhattan NY 10002",No,Accessible,212-602-9700,ps184m.org,"J, M, Z to Delancey St-Essex St; F to East Broadway","M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",M184S,Shuang Wen (P.S. 184) Chinese Dual Language Program,Screened: Language,235,49,3,2,22,71,Y,N,Open to students and residents of Manhattan,Priority to continuing 5th grade students,Then to students and residents of Manhattan.,,,,,,"Preference is given to the following students: English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",,Attendance,Final 4th Grade ELA Course Grade,Final 4th Grade Math Course Grade,Mandarin Language Assessment,Punctuality,Standardized Test Score: ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,69,74,High School for Dual Language and Asian Studies,Stuyvesant High School,Brooklyn Technical High School,85,254,GR PK-8,No,8:20am-2:40pm,Yes,"English as a New Language, Dual Language: Chinese",Yes—Offered,Yes—After-School,Yes,No,Mandarin,"Algebra I, Living Environment",,Basketball Clinic ; Computer Technology ; Fine Art ; Kung-Fu Class ; Lion Dance ; Mentoring ; Public Speaking ; Shadow Box Theater ; SHSAT Prep and Homework Assistance,,,,Basketball,10002,1,40.711549,-73.986542,3,1,201,1003143,1002450007,Lower East Side                                                            ,103
01M188,PS 188 THE ISLAND SCHOOL,89.6,,441,26,37,42,34,50,46,31,43,68,64,,,,,73,16.6,93,21.1,74,6,2,0.5,125,28.3,302,68.5,5,1.1,220,49.9,221,50.1,1,The Island School (P.S. 188),Our mission at the Island School is to be relentless in our pursuit of the best ways to support student success. One way that we have done that—and will continue to do it—is by giving students a wide array of experiences so that they can identify areas of interest and talent and then develop those interests and talents into lifelong passions. Our faculty is committed to helping each of our children reach her/his full academic potential. We are developing a culture of college-minded students and working with community members to create a challenging learning environment. Parents like that we help identify and nurture their children's interest in the arts. Parents appreciate our partnerships with high schools such as Bard High School Early College.,Lower East Side,"442 East Houston Street, New York NY 10002","Yes—01M188, 75M094, 84M330",Accessible,212-677-5710,island188.org,,"M14A, M14D, M21, M22, M8, M9",M188S,The Island School (P.S. 188),Screened,67,33,2,3,11,36,N,Y,Open to students and residents of District 1,Priority to continuing 5th grade students,"Then to students and residents of District 1. Last year, this program admitted students from all priority groups.",,,,,,,,Attendance,Final 4th Grade Report Card,4th Grade New York State ELA and Math Exams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,14,20,Manhattan Early College School for Advertising,,,100,162,GR PK-8,No,8am-2:50pm,Yes,"English as a New Language, Dual Language: Spanish",No,Yes,Yes,Yes,,"Algebra I, Living Environment",Global Classroom Curriculum,Computer ; Dance ; Drama ; Theater ; Visual Arts,,,"Badminton, Tennis, Volleyball","Baseball, Basketball",10002,1,40.719598,-73.977904,3,2,20,1004349,1003560100,Lower East Side                                                            ,103
01M301,TECHNOLOGY ARTS AND SCIENCES STUDIO,60,,96,,,,,,,,,96,,,,,,6,6.3,15,15.6,2,,6,6.3,25,26,57,59.4,7,7.3,47,49,49,51,1,"Technology, Arts and Sciences Studios","Teachers and administrators are very approachable for discussion and support. We focus on life’s big questions which make learning applicable, interesting, and fun. Parents like the intimacy of our small, supportive community. They feel good sending their children to a school that offers a balance of structured learning activities coupled with opportunities for individual expression and growth. Students like the integrated learning experience we offer. Our instructional activities help them make the developmental leap from concrete thinking to a more sophisticated mindset where relationships are drawn between ideas.",East Village,"185 1st Avenue, Manhattan NY 10003","Yes—01M019, 01M301",Not Accessible,212-982-1836,schools.nyc.gov/schoolportals/01/m301,"L to 1st Ave; 6 to Astor Place; 4, 5, N, Q, R to 14th St-Union Square","M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M5, M8, M9, X1, X10, X10B, X12, X17, X27, X28, X7, X9",M301S,"Technology, Arts and Sciences Studio",Screened,120,47,3,3,14,46,N,Y,Open to students and residents of District 1,,,,,,,,,,Academic and Personal Behaviors,Attendance,Punctuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,24,6,New Design High School,,,85,127,GR 6-8,No,8:39am-3pm,No,English as a New Language,No,Yes,No,No,Spanish,,"Integrated Technology, Sixth Grade Advisory Program (including Yoga), Theater Arts, Visual Arts","Lincoln Center-focused school: teaching artists from Lincoln Center visit three times/year to prepare for a performing arts event ; Partnership with Museum of Modern Art with art unit culminating in field trip to MoMA ; Partnership with University Settlement with after-school activities daily until 5:30pm including: Drama, Science, Newspaper/Yearbook, Dance, and Homework Help",,Volleyball,,"Baseball, Basketball, Flag Football, Soccer, Softball, Track and Field, Volleyball",10003,1,40.729636,-73.983818,3,2,40,1006478,1004530034,East Village                                                               ,103
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,70.9,,161,,,,,,,,,83,78,,,,,5,3.1,31,19.3,1,13,11,6.8,32,19.9,114,70.8,4,2.5,83,51.6,78,48.4,1,University Neighborhood Middle School,"University Neighborhood Middle School (UNMS) creates a progressive learning experience for students. We set high academic and social expectations. UNMS offers a project-based, interdisciplinary approach to learning. Our partners include New York University, Henry Street Settlement, and Third Street Music School. Parents appreciate the small class sizes, and the intelligence and responsiveness of staff. Students participating in our Next Generation Extended Learning Program at NYU will enjoy an extended school year at New York University. Students will engage in learning on the NYU campus with access to their resources. Students will participate in trips throughout the year. Extended learning opportunities are also available for parents and students on Saturdays through our partnership with Henry Street Settlement. All UNMS students are eligible for this program. Students who are admitted to the Next Generation Extended Learning Program will be automatically enrolled.",Lower East Side,"220 Henry Street, Manhattan NY 10002","Yes—01M292, 01M332, 84M080",Accessible,212-267-5701,unmslearns.net,"J, M, Z to Delancey St-Essex St; F to East Broadway; B, D to Grand St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",M332R,Next Generation Extended Learning @ NYU,Screened,92,36,4,5,7,23,N,Y,Open to students and residents of District 1,,,,,,,,,,Attendance,Attendance at an Open House/School Tour,Final 4th Grade Report Card,Punctuality,,,,,,,,,,M332S,University Neighborhood Middle School,Screened,127,68,2,3,21,69,N,Y,Open to students and residents of District 1,,,,,,,,,,Attendance,Attendance at an Open House/School Tour,Final 4th Grade Report Card ,Punctuality,,,,,,,,,This program will see where you rank it on your child’s application; this influences how the program evaluates your child’s application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,24,7,Harvest Collegiate High School,,,94,234,GR 6-8,No,8:20am-2:40pm,Yes,English as a New Language,No,Yes—After-School,Yes,No,Spanish,,,AM Homework Help ; Bio for Life Club ; Book Club ; Crochet/Knitting Club ; Film Club ; Geek Squad (Coding) ; Glee Club ; Hip Dance ; Humanities and Math Academy ; One-on-One Integrated Technology Program ; Project Arts ; Restorative Justice Committee ; Student Council ; Video Production ; Weekly Town Hall Meetings,,,,"Basketball, Flag Football, Ultimate Frisbee, Yoga",10002,1,40.713684,-73.986336,3,1,201,1003223,1002690041,Lower East Side                                                            ,103
01M450,EAST SIDE COMMUNITY HIGH SCHOOL,70.6,,501,,,,,,,,,88,97,89,85,74,68,30,6,124,24.8,43,8,32,6.4,138,27.5,299,59.7,28,5.6,244,48.7,257,51.3,1,East Side Community School,"We are a grade 6-12 college preparatory academy with a challenging and engaging curriculum. Our teachers know the students well and address each student's individual needs. Students love our small class size, our amazing teachers, the sense of community, and the countless special programs we offer, including our free and extensive after-school tutoring, arts, sports, leadership, travel, and academic enrichment programs. Students also rave about the unparalleled selection of books. Parents appreciate the communication and personalized attention they receive at East Side and regularly comment on its private-school feel. Each student has an advisor who provides ongoing academic, social, and emotional support, and communicates regularly with the family. Students and families greatly appreciate that college prep and awareness begins in sixth grade. All students develop graduation portfolios in the core subjects. Students present and defend their work to committees twice a year through our portfolio roundtable presentations. Students cannot graduate without completing this rigorous and engaging process of authentic assessment.",East Village,"420 East 12th Street, Manhattan NY 10009","Yes—01M450, 84M330",Not Accessible,212-460-8467,eschs.org,L to 1st Ave; 6 to Astor Place,"M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M8, M9",M450S,East Side Community School,Screened,355,111,6,6,20,64,Y,Y,Open to students and residents of District 1,,,,,,,,,,Attendance,Attendance at an Open House/School Tour,Demonstrated Interest: School Visit or Written Contact,Priority to Siblings,Punctuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,43,40,East Side Community School,,,94,306,GR 6-12,No,8am-3:30pm,No,English as a New Language,Yes—Offered,Yes,Yes—Academic support and enrichment.,Yes—Saturday program,,,"Art, Chess, Coding, Dance, Digital Photography, Film, Guitar, High School Math, Language, Theater. Week Without Walls: Each May, the regular school year stops for a week while students choose from around 30 authentic learning experiences. Students have the opportunity to learn and be exposed to something new that is outside of the regular curriculum and/or to have the opportunity to concentrate heavily on something the student is or may potentially be very interested in or passionate about.",Art & Computer Design ; Chess ; College Bound Initiative ; Community Garden ; Cooking Club ; Environmental Club ; Gay-Straight Alliance ; Graphic Novel Club ; Honors Society ; Makers Club ; Peer Tutoring Program ; Photography ; Principal's Book Club ; Rock Band ; Scholars Program ; School Newspaper ; Science Seminar ; Skateboarding ; Student Government ; Travel Club ; Visual Arts ; Week Without Walls ; Youth for Debate Team,,,"Fitness Club, Soccer","Basketball, Crew, Cycling, Flag Football, Golf, Running, Skateboarding, Soccer, Softball, Track and Field, Volleyball, Yoga",10009,1,40.729589,-73.982555,3,2,34,1005974,1004390017,East Village                                                               ,103
